Version Implemented	CLI Parameter Type	Purpose/Meaning	CLI Parameter(s)	Export	Import	Set-Update	Rename	Delete	CLI Sub-Parameter(s)	Options	Default Option/Action	Environmental Parameter(s)	Description	Notes
00.00.00.000	Standard	x	x	true	true	true	true	true	-	-	OFF	-	x	-
00.00.00.000	Standard	Show Help	-? | --help	true	true	true	true	true	N/A	N/A	OFF	-	Show Help Information	-
00.00.00.000	Standard	Verbose mode	-v | --verbose	true	true	true	true	true	N/A	N/A	OFF	VERBOSEMODE {true|false}	Show Verbose Details in Logging and Display	-
00.00.00.000	Standard	No waiting in verbose mode	--NOWAIT	true	true	true	true	true	N/A	N/A	OFF	-	Avoid 'Wait for any key" operations	-
00.00.00.000	Standard	Authenticate as root	-r | --root	true	true	true	true	true	N/A	N/A	OFF	-	Authenticate as root account user	Only works against the executing management host, not valide with -m parameter
00.00.00.000	Standard	Set SmartConsole Admin User Name	-u <admin_name> | --user <admin_name> |'u=<admin_name> | --user=<admin_name>	true	true	true	true	true	<admin_name>	Administrator user name	N/A	-	Administrative user account user name	Not specifying this parameter when no other authentication type is used, will prompt for Administartor user name
00.00.00.000	Standard	Set SmartConsole Admin User password	-p <password> | --password <password> | -p=<password> | --password=<password>	true	true	true	true	true	<password>	Administrator user password	N/A	-	Administrative user account user password	Not specifying this parameter when -u or no other authentication type is used, will prompt for Administartor user password
00.50.00.000	Standard	Set SmartConsole Admin User API Key	--api-key <api_key_value> | --api-key=<api_key_value>	true	true	true	true	true	<api_key_value>	Administrator user API Key	N/A	-	Administrative user account user API Key	Administrator user account must be configured for API Key authentication!
00.60.08.055	Standard	Set MaaS (Smart-1 Cloud) Operation	--MaaS | --maas | --MAAS	true	true	true	true	true	N/A	N/A	OFF	-	Enables operations for MaaS (Smart-1 Cloud) management	Added to explicitly set MaaS (Smart-1 Cloud) operations, since that ensures rest of template script can address the changes to operations needed.  Requires CLI parameters for Management Server (-m), Domain (-d), API Context (--context), and API Key (--api-key) or will fail out.
00.60.08.000	Standard	Set API Context	--context <web_api|gaia_api|{MaaSGUID}/web_api> | --context=<web_api|gaia_api|{MaaSGUID}/web_api>	true	true	true	true	true	<api _context>	<web_api|gaia_api|{MaaSGUID}/web_api>	web_api	-	Context for API operation	Management API requires either option <web_api> or <{MaaSGUID}/web_api> for Smart-1 Cloud (MaaS)
