v00.60.08.030	OBJECT HANDLER	OBJECT GROUP	OBJECT	JSON Repository OBJECT	Recommended SMS Limit	Recommended MDSM Limit	Minimum Version	Supports set-if-exists	Supports dereference-group-members	CSV Details	Objects JSON	Export CSV	Export CSV Action	Export JSON Action	Import	Set-Update	Delete	Suppend Error Handling	Notes
TRUE	Simple Object Handler	Network Objects	hosts	hosts	500	200	1.1	TRUE	FALSE	TRUE, !	TRUE, !	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE	TRUE	Hosts may require more complex operations to provide enhanced export for later import
TRUE	Simple Object Handler	Network Objects	hosts (NO NAT)	hosts	500	200	1.1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	N/A	TRUE	TRUE	N/A	TRUE	Hosts (NO NAT) is provided to simplfy object reuse in other management without creating the problem of import of NAT settings
TRUE	Simple Object Handler	Network Objects	networks	networks	500	200	1.1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	wildcards	wildcards	500	200	1.2	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	groups	groups	500	200	1.1	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	groups-with-exclusion	groups-with-exclusion	500	200	1.1	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	address-ranges	address-ranges	500	200	1.1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	multicast-address-ranges	multicast-address-ranges	500	200	1.1	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	dns-domains	dns-domains	500	200	1.1	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	security-zones	security-zones	500	200	1.1	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	dynamic-objects	dynamic-objects	500	200	1.1	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	tags	tags	500	200	1.1	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE, disabled	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	simple-gateways	simple-gateways	500	200	1.1	FALSE	FALSE	FALSE, !	TRUE	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	simple-clusters	simple-clusters	500	200	1.6	FALSE	FALSE	FALSE, !	TRUE	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	checkpoint-hosts	checkpoint-hosts	500	200	1.6.1	TRUE	FALSE	FALSE, !	TRUE	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	times	times	500	200	1.1	FALSE	FALSE	TRUE, !	TRUE	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	time-groups	time-groups	500	200	1.1	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects|Users	access-roles	access-roles	500	200	1.1	FALSE	FALSE	FALSE, !	TRUE	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE, !	TRUE	-
TRUE	Simple Object Handler	Network Objects	opsec-applications	opsec-applications	500	200	1.1	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects|Manage & Settings	trusted-clients	trusted-clients	500	200	1.1	FALSE	FALSE	FALSE, !	TRUE	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	lsv-profiles	lsv-profiles	500	200	1.6	FALSE	FALSE	FALSE, !	TRUE	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	gsn-handover-groups	gsn-handover-groups	500	200	1.6.1	FALSE	TRUE	FALSE, !	TRUE	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	access-point-names	access-point-names	500	200	1.6.1	FALSE	FALSE	FALSE, !	TRUE	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	tacacs-servers	tacacs-servers	500	200	1.7	FALSE	FALSE	TRUE, !	TRUE	TRUE, !	TRUE, !	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Network Objects	tacacs-groups	tacacs-groups	500	200	1.7	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Service & Applications	services-tcp	services-tcp	500	200	1.1	FALSE	FALSE	TRUE, !+	TRUE, !+	TRUE, !+	TRUE, !+	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Service & Applications	services-udp	services-udp	500	200	1.1	FALSE	FALSE	TRUE, !+	TRUE, !+	TRUE, !+	TRUE, !+	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Service & Applications	services-icmp	services-icmp	500	200	1.1	FALSE	FALSE	TRUE, !+	TRUE, !+	TRUE, !+	TRUE, !+	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Service & Applications	services-icmp6	services-icmp6	500	200	1.1	FALSE	FALSE	TRUE, !+	TRUE, !+	TRUE, !+	TRUE, !+	TRUE	TRUE	TRUE	TRUE	TRUE	-
TRUE	Simple Object Handler	Service & Applications	services-sctp	services-sctp	500	200	1.1	FALSE	FALSE	TRUE, !+	TRUE, !+	TRUE, !+	TRUE, !+	TRUE	TRUE	TRUE	TRUE	TRUE	-
